ID,Word,Meaning,Etymology,Derived
1432,undermine,を徐々にむしばむ；を侵食する,under(下に) + mine(坑道を掘る) → 土台の下を掘って弱らせる,
1433,abolish,を廃止する,ab(離れて) + alere(育てる) → 生長を止めて破棄する,abolition(廃止)
1434,strip,を［から］取り去る；を裸にする,strepen(剥ぎ取る)が語源,stripper(剥離剤)
1435,dispose,〔＋ofで〕を処分する；を(…する)気にさせる(to do)；を配置する,dis(離れて) + ponere(置く) → 配置する・片付ける,disposal(処分) / disposition(気質・配置)
1436,dump,を投棄する；をどさっと落とす,dumpen(重く落ちる)が語源,dumpster(大型ゴミ箱)
1437,weave,を織る；(計画・物語など)を作り上げる,wefan(織る)が語源,weaver(織物師)
1438,refine,を洗練する；を精製する,re(再び) + fine(純粋な) → 不純物を取り除いて純化する,refinement(洗練) / refinery(精製所)
1439,enrich,を豊かにする；(物質)を濃縮化する,en(にする) + rich(豊かな) → 豊かにする,enrichment(豊かにすること)
1440,coordinate,を調整する；を組織する；(服など)をコーディネートする,com(共に) + ordinare(順序立てる) → 全体の調和をとる,coordination(調整・協調) / coordinator(調整役)
1441,headline,(新聞などの)見出し,head(頭・最上部) + line(行) → 紙面最上部の大きな見出し,
1442,internship,【米】 実務［医学］研修；研修期間,intern(研修生) + ship(期間・資格),intern(研修生)
1443,outlet,直売店，特売店；はけ口；【米】(電気の)コンセント,out(外へ) + let(出す) → 出口・排出口,
1444,remedy,治療(法)；治療薬；解決法,re(再び) + mederi(治す) → 正常な状態に治す手段,remedial(補習の・治療の)
1445,pill,錠剤，丸薬；〔the ～〕ピル，経口避妊薬,pila(球)が語源,
1446,reception,反応；宴会；受付；受信(状態),re(受け取る) + capere(捕らえる) → 迎え入れること,receptionist(受付係) / receptive(受け入れる)
1447,transaction,(商)取引；(人と人との)交流,trans(越えて) + agere(行う) → 相互に行うやり取り,transact(取引する)
1448,mutation,突然変異(体)；変化,mutare(変化する) + tion → 変化すること,mutate(変異する) / mutant(変異体)
1449,dairy,〔集合的に〕乳製品；乳製品加工所［販売者］,deye(乳搾り女)が語源,
1450,compassion,同情,com(共に) + pati(苦しむ) → 共に苦しみを感じる同情,compassionate(思いやりのある)
1451,posture,姿勢；心構え,ponere(置く) + ture → 体の置き方・姿勢,
1452,curse,悪態，ののしりの言葉；呪い；〔通例a ～〕災い,curs(呪い)が語源,cursed(呪われた)
1453,funeral,葬式,funus(葬儀) + al,funereal(葬式のような・陰気な)
1454,census,国勢調査；交通調査,censere(評価する・数える) → 住民や財産を登録調査すること,
1455,encyclopedia,百科事典,en(の中に) + kyklos(円・循環) + paideia(教育) → 円満な全般知識体系,
1456,cereal,〔通例～s〕穀物；シリアル(穀物加工食品),Ceres(ローマ神話の豊穣の女神ケレス)が語源,
1457,fragment,断片,frangere(折る・壊す) + ment → 砕けた破片,fragmentary(断片的な)
1458,patch,(～の)部分，斑点；継ぎ；貼り薬,patche(あて布)が語源,patchwork(パッチワーク)
1459,rubbish,【英】 ごみ；つまらないもの,rubble(瓦礫)と同語源,
1460,maze,迷路；複雑に込み入ったもの,masen(惑わす)が語源,
1461,outlook,見解；見通し；眺め,out(外を) + look(見る) → 見渡すこと・展望,
1462,breakthrough,大発見，飛躍的進歩,break(突き破る) + through(通り抜けて) → 障害を突き破ること,
1463,triumph,勝利；勝利の喜び；偉業,triumphus(勝利の凱旋式)が語源,triumphant(意気揚々とした)
1464,ally,同盟国；提携者；援助者；盟友,ad(〜へ) + ligare(結ぶ) → 結びついた味方,alliance(同盟)
1465,spectator,(試合などの)観客,specere(見る) + tor → 見る人,spectacle(壮観) / spectacular(素晴らしい)
1466,sphere,領域；球体；天体,sphaira(球・玉)が語源,spherical(球状の) / hemisphere(半球)
1467,county,【米】 郡；【英】州,comes(伯爵)の領地 → 地方行政区画,
1468,behalf,利益，味方,on ... half(〜の側で) → 〜の味方・代理,
1469,interval,(時間の)間隔；合間；隔たり；小休止,inter(の間に) + vallum(城壁) → 壁と壁の間のスペース,
1470,circulation,循環；流通；(新聞・雑誌の)発行部数,circulus(円) → 円を描いてぐるぐる回ること,circulate(循環する)
1471,blade,刃；(プロペラなどの)羽根；(草などの)葉,blaed(葉・刃)が語源,
1472,theft,窃盗(罪),theof(泥棒) + th → 盗む行為,thief(泥棒)
1473,vacuum,真空；空虚,vacuus(空の) + um → 何もない空間,vacant(空いている)
1474,collision,衝突；対立,com(共に) + laedere(ぶつける) → 激しくぶつかり合うこと,collide(衝突する)
1475,bargain,買い得品；取引；契約,bargeten(売買交渉する)が語源,
1476,landmark,(ある場所の)目印；画期的な出来事,land(土地) + mark(印) → 境界や場所を示す目印,
1477,revenue,歳入；収益,re(戻って) + venire(来る) → 戻ってくる収入,
1478,treaty,(国家間の)条約；協定,tractare(交渉する) → 交渉してまとめた条約,
1479,supreme,最高の,superus(上の)の最上級 → これ以上ない最高の,supremacy(至高・主権)
1480,thorough,徹底的な；まったくの,through(通り抜けて)の変形 → 隅々まで通り抜けて完璧な,thoroughly(徹底的に)
1481,naked,裸の,nacod(裸の)が語源,nakedness(全裸状態)
1482,sincere,心からの；誠実な,sine(〜のない) + cera(ワックス) → 誤魔化しのない・純粋な,sincerity(誠実さ) / sincerely(心から)
1483,tame,飼いならされた，人に慣れた；退屈な,tam(慣れた)が語源,tamer(猛獣使い)
1484,insufficient,不十分な；不適当な,in(不) + sub(下に) + facere(作る) → 満たすに足りない,insufficiency(不十分)
1485,dim,薄暗い；ぼんやりした,dimm(暗い)が語源,dimly(薄暗く)
1486,acute,(痛み・感情などが)激しい；(知覚などが)鋭い；急性の,acus(針) → 針で刺すように鋭く激しい,acutely(鋭く・痛烈に)
1487,disabled,障害のある；障害者用の,dis(不能) + able(できる) + ed → 能力が阻まれた,disability(障害・ハンディキャップ)
1488,metropolitan,大都市の，首都圏の,meter(母) + polis(都市) → 母都市の・大都市の,metropolis(大都市)
1489,monetary,金銭的な；金融の,moneta(貨幣・造幣所) + ary → お金に関する,money(お金)
1490,alternate,代わりの；交互の,alter(別の) + ate → ひとつ置きに交互にする,alternatively(あるいは) / alternative(代替の)
1491,partial,部分的な；不公平な,pars(部分) + ial → 全体の一部だけの・偏った,partially(部分的に) / partiality(偏愛)
1492,divine,神の；神にささげる,divus(神) + ine → 神に関する・神聖な,divinity(神性)
1493,drastic,徹底的な，抜本的な；極端な,dran(行う・効き目がある) → 強烈に作用する,drastically(劇的に)
1494,fierce,猛烈な；どう猛な,ferus(野生の) → 野生のように荒々しい,fiercely(猛烈に)
1495,sole,唯一の；単独の；独占的な,solus(ただひとつの) → 単独の,solely(単に・専ら)
1496,spontaneous,自然発生的な；自発的な,sponte(自発的に) + aneous → 外部から強制されず自ら生じる,spontaneously(自発的に) / spontaneity(自発性)
1497,spatial,空間の,spatium(空間) + al → 空間に関する,spatially(空間的に) / space(空間)
1498,neat,きちんとした；見事な,nitidus(輝く・綺麗な) → 整っていて気持ちが良い,neatly(きちんと)
1499,tidy,きちんとした，整頓された；相当の,tide(時) → 時期にかなった・整った,tidiness(整頓)
1500,loyal,(～に)忠実な(to)；誠実な,lex(法律) → 法律を守る・義理堅く忠実な,loyalty(忠誠心)
1501,bless,に恩恵を与える；に感謝する,blod(血) → 神聖な血を振り撒いて清める・祝福する,blessing(祝福・恵み)
1502,regain,を取り戻す,re(再び) + gain(得る) → 再び手に入れる,
1503,conform,順応する；一致する,com(共に) + forma(形) → 周囲と同じ形を形作る,conformity(順応・適合)
1504,enroll,登録する，入会する；を登録させる,en(の中に) + roll(巻物・名簿) → 名簿の中に書き入れる,enrollment(登録・入学)
1505,entitle,に権利を与える；に題名をつける,en(にする) + titulus(タイトル・資格) → 資格やタイトルを与える,entitlement(権利・資格)
1506,halt,を止める；止まる,hald(止まる)が語源,
1507,provoke,(感情・行動など)を引き起こす；を挑発する,pro(前へ) + vocare(呼ぶ) → 声をかけて感情を呼び起こす・挑発する,provocation(挑発) / provocative(挑発的な)
1508,invade,を侵略する；を侵害する；(場所)に殺到する,in(の中に) + vadere(進む) → 内部へ踏み込む,invasion(侵略) / invader(侵略者)
1509,squeeze,押し入る；を押し込む；(を)搾る；(を)強く押す,cwesan(押しつぶす)が語源,
1510,crawl,はう；ゆっくり進む,krala(這う)が語源,
1511,digest,を消化する；を理解する；を要約する,dis(別々に) + gerere(運ぶ) → 分解して体内に取り込む,digestion(消化) / digestive(消化の)
1512,utter,(声)を発する；(考えなど)を述べる,out(外へ) → 口から外へ音や言葉を出す,utterance(発声・発言)
1513,refrain,控える,re(後ろへ) + frenum(くつわ) → くつわを引いて抑える,
1514,populate,に住む，の住民である；に人を住まわせる,populus(人々・民) + ate → 人々を住まわせる,population(人口)
1515,accommodate,を収容する；を(～に)適応させる(to),ad(〜へ) + com(共に) + modus(尺度) → 合わせて受け入れる,accommodation(宿泊施設・適応)
1516,steer,(を)操縦する；を(～へ)向ける(to),steoran(舵をとる)が語源,steering(操縦・ステアリング)
1517,drown,溺死する；を水浸しにする,druncnian(飲み込まれる)が語源 → 水に飲み込まれて溺れる,
1518,dip,を浸す；(手など)を(～に)突っ込む(into / in)；下がる,dippan(沈める)が語源,
1519,soak,を浸す；をずぶぬれにする；浸る,socian(浸す)が語源,
1520,stir,をかき回す；を揺り動かす,styrian(動かす)が語源,stirring(感動的な)
1521,transplant,を移植する；を移住させる,trans(越えて) + plant(植える) → 別の場所に植え替える,transplantation(移植)
1522,reassure,を安心させる,re(再び) + ad(〜へ) + securus(確かな) → 再び確信させて安心させる,reassurance(安心・再保証)
1523,resume,(を)再開する；を取り戻す,re(再び) + sumere(取る) → 再び取り上げる・再開する,resumption(再開)
1524,speculate,(と)推測する；投機する,specere(見る) → じっくり見つめて推測・予想する,speculation(推測・投機) / speculative(推測の)
1525,surpass,を上回る,super(越えて) + passer(通る) → 越えて通り過ぎる,
1526,appoint,を任命する；(日時・場所など)を指定する,ad(〜へ) + point(指し示す) → 指標を定めて任命・指定する,appointment(約束・任命)
1527,intrigue,に興味を持たせる；陰謀を企てる,in(の中に) + tricae(複雑な事態) → 複雑さで惹きつける・策を弄する,intriguing(興味深い)
1528,decay,腐敗する；(徐々に)衰える,de(下に) + cadere(落ちる) → 状態が下落して腐敗・衰退する,
1529,contaminate,を汚染する；を堕落させる,com(共に) + tangere(触れる) → 接触して汚す,contamination(汚染)
1530,swell,膨張する，腫れる；を膨らませる,swellan(膨らむ)が語源,swollen(腫れた)
1531,delete,を削除する，消す,de(離れて) + linere(擦る) → 擦って消し去る,deletion(削除)
1532,tolerate,を許容する，我慢する,tolerare(耐える・持ち上げる) → 持ちこたえて受け入れる,tolerance(寛容・耐性) / tolerant(寛容な)
1533,envy,をうらやむ,in(の中に・対して) + videre(見る) → じっと妬み見る,envious(うらやましがっている) / enviable(羨ましい)
1534,pray,(を)祈る,precari(お願いする・祈る)が語源,prayer(祈り)
1535,confess,(を)告白する,com(完全に) + fateri(認める) → すべて打ち明ける,confession(告白・自白)
1536,resign,(を)辞任する；を放棄する,re(後ろへ) + signare(署名・印) → 署名して辞退を表明する,resignation(辞任・諦め)
1537,dissolve,(を)溶かす；(議会など)を解散する；(契約など)を解消する；溶ける,dis(バラバラに) + solvere(解く) → 解いて散らす,dissolution(解散・解消)
1538,unfold,(閉じたもの)を開く；を明らかにする；開く；明らかになる,un(取り消し) + fold(折る) → 折りたたみを解く,
1539,awaken,を目覚めさせる；(～から)覚める(from),a(強調) + wacan(起きる) → 目を覚まさせる,awakening(覚醒)
1540,conceive,(を)思いつく；と想像する；(を)妊娠する,com(完全に) + capere(捕らえる) → 心や体の中に宿す,conception(概念・妊娠) / concept(概念)
1541,entrepreneur,起業家，事業家,entre(間に) + prendre(取る) → 事業を引き受ける人,entrepreneurship(起業家精神)
1542,stake,利害関係；〔通例～s〕賭け金；杭,staca(杭) → 杭を打って境界・所有権・賭け金を主張する,
1543,surplus,余剰，過剰；黒字,super(越えて) + plus(より多くの) → 定量を越えて余った分,
1544,inflation,インフレ(ーション)；(物価の)高騰,in(中に) + flare(膨らます) → 膨張すること,inflate(膨らませる)
1545,sweatshop,搾取工場,sweat(汗) + shop(工場) → 汗水垂らして働かせる酷使工場,
1546,clash,衝突；対立；かち合うこと；ガチャンという音,擬音語(金属などが激しくぶつかる音),
1547,sociology,社会学,socius(仲間・社会) + logy(学問) → 社会に関する学問,sociologist(社会学者) / sociological(社会学の)
1548,ideology,イデオロギー，思想傾向,idea(観念) + logy(学問) → 観念体系・思想傾向,ideological(思想上の)
1549,margin,余白；差；利ざや,margo(端・境界) → 端の空白・差額,marginal(わずかな・端の)
1550,realm,領域；領土,regimen(支配・王国) → 支配する範囲,
1551,domain,分野；領域；ドメイン,dominus(主・領主) → 領主の所有地・専門領域,
1552,algorithm,アルゴリズム；問題解決の手順,数学者アル＝フワーリズミーの名が語源,algorithmic(アルゴリズムの)
1553,prairie,大草原,pratum(草地)が語源,
1554,frontier,〔通例the ～s〕最先端；〔the ～〕 【米】辺境地；国境,frons(最前線・額) → 最先端の領域,
1555,bullet,銃弾,boule(球) + et(小さい) → 小さい金属の球,bulletproof(防弾の)
1556,shield,盾，防御物,scild(盾)が語源,
1557,despair,絶望,de(否定) + sperare(希望を持つ) → 希望を失うこと,desperate(絶望的な・必死の)
1558,radiation,放射能，放射線,radius(光線) + ation → 放射状に広がる光線,radiate(放射する) / radioactive(放射性の)
1559,placebo,偽薬，プラシーボ；気休め,placebo(私は喜ばせる) → 患者を安心させるための偽薬,
1560,nursery,託児所；苗床,nutrire(育てる) + ery → 子供や植物を育てる場所,nurse(看護師・育てる)
1561,spouse,配偶者,spondere(誓う) → 結婚を誓い合った相手,
1562,makeup,化粧；化粧品；構成；性質,make(作る) + up(組み立てる) → 作り上げること,
1563,mummy,ミイラ；【英】ママ，お母さん,mumiya(防腐剤に使われた瀝青)が語源,
1564,flesh,(人・動物の)肉；果肉,flaesc(肉)が語源,fleshy(肉付きの良い)
1565,limb,手足,lim(身体の関節・肢)が語源,
1566,odor,におい；気配,odere(におう) → 独特のにおい,odorous(においのある)
1567,laundry,洗濯(物)；クリーニング店,lavare(洗う) → 洗濯するもの,launder(洗濯する)
1568,tide,潮(の干満)；動向,tid(時間・時期) → 周期的に訪れる潮の満ち引き,tidal(潮の)
1569,questionnaire,アンケート,question(質問) + aire(集まり) → 質問票,
1570,nonsense,ばかげた物［話，考え］；無意味な言葉,non(無) + sense(意味) → 意味をなさないこと,
1571,revenge,復讐,re(再び) + vindicare(報復する) → 報復すること,revengeful(復讐心に燃えた)
1572,intellect,知性；〔the ～(s)〕知識人,inter(の間に) + legere(選ぶ) → 物事を正しく識別する知性,intellectual(知的な)
1573,hospitality,親切なもてなし，歓待；受容性,hospes(客・主人) + ity → 客を温かく迎えること,hospitable(歓待する)
1574,librarian,司書，図書館員,liber(本) + arian(人) → 図書館で本を管理する人,library(図書館)
1575,manuscript,(手書きの)原稿；写本,manus(手) + scribere(書く) → 手で書いた原本,
1576,obsession,(考えなどに)取りつかれること；妄想；強迫観念,ob(前に) + sedere(座る) → 前に居座って頭を離れないこと,obsess(取りつかれる) / obsessive(強迫観念的な)
1577,hygiene,衛生(状態)；健康法,Hygieia(ギリシャ神話の健康の女神)が語源,hygienic(衛生的な)
1578,paradigm,理論的枠組み，パラダイム；模範,para(並べて) + deiknynai(示す) → 並べて見せる模範・枠組み,
1579,legitimate,合法的な；妥当な,lex(法律) + ate → 法律に適った,legitimacy(正当性) / legitimize(正当化する)
1580,authentic,本物の；信頼できる,authentes(本物の・自ら行う者) → 本物の,authenticity(信頼性・本物であること)
1581,empirical,経験的な；経験主義の,en(中に) + peira(試み) → 実際に経験・観察に基づいた,empiricism(経験主義)
1582,immense,膨大な,in(不) + metiri(測る) → 測定できないほど巨大な,immensely(非常に)
1583,absurd,ばかげた；不合理な,ab(完全に) + surdus(耳が聞こえない) → 不協和音で筋が通らない,absurdity(不合理)
1584,weird,異様な，奇妙な,wyrd(運命・不可思議)が語源,
1585,accidental,偶然の；過失による,ad(〜へ) + cadere(落ちる) → 落ちて偶然起こる,accident(事故・偶然) / accidentally(偶然に)
1586,uneasy,不安な；落ち着かない；ぎこちない,un(不) + easy(穏やかな) → 心が穏やかでない,uneasiness(不安)
1587,jealous,嫉妬深い；用心深い,zelos(熱意・嫉妬) → 他人を羨んで興奮している,jealousy(嫉妬)
1588,feminine,女らしい,femina(女性) + ine → 女性特有の,feminism(フェミニズム) / femininity(女らしさ)
1589,swift,素早い,swifan(素早く動く)が語源,swiftly(素早く)
1590,hollow,空洞の；空虚な；うわべだけの,hol(穴)が語源 → 中が空っぽの,
1591,crude,大まかな；粗野な；未精製の,crudus(生の・未熟な) → 精製されていない生のままの,crudely(雑に)
1592,sore,痛い；腹が立って,sar(痛む)が語源,soreness(痛み)
1593,pessimistic,悲観的な,pessimus(最悪の) → 最悪の事態を考える,pessimism(悲観主義) / pessimist(悲観主義者)
1594,vain,無駄な；うぬぼれた,vanus(空っぽの) → 成果がなく空しい,vanity(虚栄心) / in vain(無駄に)
1595,susceptible,(～の)影響を受けやすい(to)；感染しやすい,sub(下に) + capere(捕らえる) → 下から受け入れやすい,susceptibility(感受性・影響を受けやすさ)
1596,edible,食用の，食べられる,edere(食べる) + able → 食べることができる,
1597,sheer,純然たる，真の；すごい；(布が)薄地の,scir(純粋な・明るい)が語源 → 不純物のないそのままの,
1598,explicit,明白な；率直な,ex(外へ) + plicare(折る) → 折りたたみを外へ開いて明解にする,explicitly(明白に)
1599,prone,(～に)なりやすい(to)；(…する)傾向がある(to do),pronus(前傾の) → 前に傾いて倒れやすい,
1600,affluent,裕福な；豊富な,ad(〜へ) + fluere(流れる) → 豊かに流れ込んでくる,affluence(裕福)
1601,collaborate,共同して働く；(～に)協力する(with),com(共に) + laborare(働く) → 一緒に働く,collaboration(共同研究) / collaborative(協力的な)
1602,exert,を及ぼす；(力など)を行使する,ex(外へ) + serere(結ぶ・接続する) → 外へ力を押し出す,exertion(行使・努力)
1603,excel,(～で)秀でている(in / at)；に勝る,ex(越えて) + celsus(高い) → 越えて高く突き抜ける,excellence(優秀さ) / excellent(素晴らしい)
1604,prosper,栄える，成功する；繁殖する,pro(前へ) + spes(希望) → 希望に向かって栄える,prosperity(繁栄) / prosperous(繁栄している)
1605,surge,殺到する；(感情が)こみ上げる；急騰する,sub(下から) + regere(直進する) → 下から波のように押し寄せる,
1606,intervene,(～に)介入する(in)；介在する,inter(の間に) + venire(来る) → 間に入り込む,intervention(介入)
1607,insert,を挿入する,in(の中に) + serere(結ぶ・はめ込む) → 中にはめ込む,insertion(挿入)
1608,overtake,を追い抜く；に追いつく；(災難・強い感情などが)を襲う,over(越えて) + take(捕らえる) → 超えて追いつき追い抜く,
1609,snap,をパチンと鳴らす；をポキッと折る；ポキッと折れる；パチンと音を立てる,snappen(噛みつく)が語源 → パチンと素早く動作する,
1610,carve,を彫る；を切り開く；(肉)を切り分ける,ceorfan(刻む)が語源,carving(彫刻)
1611,addict,〔受身形で〕(～の)中毒になる(to)；(～に)凝る,ad(〜へ) + dicere(引き渡す・宣言する) → 囚われて身を捧げる,addiction(中毒) / addictive(中毒性の)
1612,condemn,を非難する；〔受身形で〕(～の刑を)宣告される(to),com(強調) + damnare(罰する) → 強く咎めて有罪を告げる,condemnation(非難)
1613,convict,に有罪を宣告する,com(強調) + vincere(証明する・勝つ) → 証拠を固めて有罪にする,conviction(有罪判決・確信)
1614,dictate,を指図する；を書き取らせる；を規定する,dicere(言う) + ate → 威厳をもって言う・指図する,dictator(独裁者) / dictation(口述筆記)
1615,prescribe,(薬など)を処方する；を規定する,pre(事前に) + scribere(書く) → あらかじめ指示を書き記す,prescription(処方箋・規定)
1616,inhibit,を抑制する；を妨げる,in(の中に) + habere(保持する) → 内に押さえつけて止める,inhibition(抑制)
1617,stray,はぐれる，(道に)迷う,extra(外へ) + vagari(さまよう) → 枠から外れて迷い出る,
1618,roam,(を)歩き回る；放浪する,ramen(進む)が語源 → 目的なく歩き回る,
1619,enclose,を同封する；を取り囲む,in(の中に) + claudere(閉じる) → 枠の中に閉じ込める,enclosure(同封・囲い)
1620,execute,を実行する；を処刑する,ex(最後まで) + sequi(従う) → 終わりまでやり遂げる・刑を遂行する,execution(実行・処刑) / executive(幹部・執行権のある)
1621,coincide,同時に起こる；一致する,com(共に) + in(へ) + cadere(落ちる) → 同じタイミングで発生する,coincidence(偶然の一致) / coincidental(偶然の)
1622,lag,遅れる；徐々に弱まる,lagu(のろい)が語源,laggy(遅延する)
1623,cling,しがみつく；くっつく,clingan(粘りつく)が語源,clingy(まとわりつく)
1624,erase,を消す,e(外へ) + radere(削る) → 削り落として消す,eraser(消しゴム) / erasure(削除)
1625,grind,(穀物など)をひく,grindan(すりつぶす)が語源,grinder(グラインダー)
1626,knit,を編む；を結合する；編み物をする,cnyttan(結ぶ)が語源,knitting(編み物)
1627,inquire,(を)尋ねる,in(の中に) + quaerere(探す) → 答えを求めて尋ねる,inquiry(問い合わせ)
1628,betray,をうっかり表す；を裏切る,be(強調) + tradere(引き渡す) → 敵に引き渡す・意図せず曝露する,betrayal(裏切り)
1629,leak,漏れる；を漏らす,leken(漏れる)が語源,leakage(漏洩)
1630,smash,を粉砕する；を強打する；粉々に壊れる；激突する,擬音語(叩き潰す音),
1631,bounce,跳ねる；反射する；を弾ませる；(Ｅメールが)(宛先不明で)返送される,bounsen(叩く)が語源,
1632,sprawl,(都市などが)不規則に広がる；だらしなく手足を伸ばす,spreawlian(手足を伸ばす)が語源,
1633,converse,(～と)会話をする(with),com(共に) + vertere(向きを変える) → 向き合って語り合う,conversation(会話)
1634,recite,を暗唱する；を詳述する,re(再び) + citare(呼び出す) → 覚えたことを声に出して再現する,recitation(暗唱)
1635,disregard,を無視する；を軽視する,dis(不) + regard(注視する) → 意図的に目を向けない,
1636,frown,眉をひそめる,frognier(鼻を鳴らす)が語源 → 不満で顔をしかめる,
1637,evoke,を呼び起こす,e(外へ) + vocare(呼ぶ) → 記憶や感情を外へ呼び出す,evocative(喚起する)
1638,pledge,を誓う，約束する；を与えることを約束する,plegium(誓約・保釈金) → 固く誓う,
1639,aspire,(～を)熱望する(to),ad(〜へ) + spirare(息をする) → 高みを目指して息を弾ませる,aspiration(熱望) / aspiring(熱心な)
1640,contemplate,(を)熟考する；を予想する,com(熟考) + templum(観察のための鳥の領域・寺院) → じっくりと静かに見つめる,contemplation(熟考)
1641,grace,優美，優雅；分別；(神の)恩寵,gratus(喜ばしい) → 気品や神の恵み,graceful(優雅な) / gracious(親切な)
1642,enlightenment,啓蒙，啓発,en(にする) + light(光) + ment → 光を照らして無知を開くこと,enlighten(啓蒙する)
1643,commerce,商業；貿易,com(共に) + merx(商品) → 商品をやり取りする商業,commercial(商業の)
1644,draft,下書き；為替手形；隙間風,dragan(引く・描く) → 線を引いて書いた下書き,
1645,barrel,バレル(液量の単位)；たる,baril(樽)が語源,
1646,timber,【英】 木材；樹木,timber(建築物) → 建築用の木材,
1647,garment,衣服,garir(備え付ける・装飾する) → 身につける衣服,
1648,thread,糸；(議論などの)筋道,thrawan(ひねる) → 撚り合わされた糸,
1649,cabinet,〔しばしばthe C-〕内閣；戸棚,cabane(小屋) + et(小さい) → 小部屋・密室で行う内閣会議,
1650,bureau,(官庁の)局；事務局；案内所,burel(毛織物の事務机の布) → 事務机・事務局,bureaucracy(官僚主義)
1651,autonomy,(個人の)自律；自治(権)；自治体,autos(自分) + nomos(法律) → 自らのルールで治めること,autonomous(自治の)
1652,toll,損害(の程度)；死傷者数；通行料,telonium(徴税所) → 通行料・払わされる代償,
1653,discourse,話し合い，会話；講演；論説,dis(あちこちに) + currere(走る) → 言葉を行き交わせる論説・会話,
1654,superstition,迷信,super(上に) + stare(立つ) → 根拠なく過剰に信じ込んで立ち尽くすこと,superstitious(迷信深い)
1655,glimpse,ちらりと見えること,glimsen(輝く) → 瞬間的にちらりと見えること,
1656,arithmetic,計算；算数,arithmos(数) → 数を扱う計算,
1657,glossary,用語小辞典；用語集,glossa(難解な言葉) + ary → 用語の解説集,
1658,archive,〔しばしば～s〕記録文書，公文書；公文書保管所；(コンピューターの)アーカイブ,arkhe(政庁・官庁) → 官庁の重要保管文書,
1659,legacy,遺産,legare(使節として送る・遺贈する) → 後世に残された遺産,
1660,anthropology,人類学,anthropos(人間) + logy(学問) → 人間に関する学問,anthropologist(人類学者)
1661,rage,激怒；猛威,rabies(狂気) → 激しい怒り,enrage(激怒させる)
1662,sorrow,悲しみ,sorg(悲しみ・心配)が語源,sorrowful(悲しむ)
1663,psychiatrist,精神科医,psyche(心) + iatros(医師) → 心の病を治す医師,psychiatry(精神医学)
1664,ward,行政区；病棟,weardan(守る) → 守られた区画・病室,
1665,stall,露店；エンスト；失速,stall(立ち止まる場所) → 立ち止まる小屋・動きが止まること,
1666,flame,炎；情熱,flamma(炎)が語源,flammable(可燃性の)
1667,moisture,水分；湿気,muscus(湿った) → しめりけ,moist(湿った) / moisturize(保湿する)
1668,irony,皮肉,eironeia(白々しい偽り) → 意図と反対の表現による皮肉,ironic(皮肉な)
1669,warrior,戦士,war(戦争) + ior → 戦う人,
1670,astronomy,天文学,astron(星) + nomos(法則) → 星の法則を学ぶ天文学,astronomer(天文学者) / astronomical(天文学的な)
1671,probe,(無人)宇宙探査機；(～の)精査(into)；探り針,probare(試す・調べる) → 探りを入れて調べるツール,
1672,altitude,高度，標高,altus(高い) + tude → 高さ,
1673,tumor,腫瘍；腫れ物,tumere(腫れる) → 膨れ上がった腫れ物,
1674,defect,欠陥；不足,de(離れて) + facere(作る) → 未完成で不備があること,defective(欠陥のある)
1675,sanitation,公衆衛生(学)；下水［衛生］設備,sanus(健康な) + ation → 健康を保つ衛生設備,sanitary(衛生的な)
1676,longevity,長寿；寿命；長年勤続,longus(長い) + aevum(時代・年齢) → 長い寿命,
1677,scope,(活動・能力などの)範囲；余地,skopein(見る) → 見渡せる範囲,
1678,sentiment,感情；感想；感傷,sentire(感じる) + ment → 心に感じる思い・感情,sentimental(感傷的な)
1679,plausible,もっともらしい,plaudere(拍手する) + ible → 拍手して認められるような説得力,plausibility(もっともらしさ)
1680,vigorous,精力的な；激しい；活力のある,vigere(活気がある) + ous → 生き生きとした,vigor(活力)
1681,masculine,男らしい,mas(男性) + ine → 男性特有の,masculinity(男らしさ)
1682,rigid,厳しい；硬直した,rigere(硬くなる) → カチコチに硬い・厳格な,rigidity(硬直・厳格さ)
1683,adverse,不都合な；逆の,ad(〜へ) + vertere(向ける) → 反対方向を向いた・不都合な,adversity(逆境) / adversary(敵)
1684,coherent,一貫した，筋の通った；結束した,com(共に) + haerere(くっつく) → しっかりまとまり筋が通った,coherence(一貫性)
1685,literal,文字どおりの；逐語的な；散文的な,littera(文字) + al → 文字の通りの,literally(文字通りに) / literacy(識字率)
1686,arbitrary,恣意的な；独断的な,arbiter(裁定人・審判) → 個人の独断で決める,arbitrarily(恣意的に)
1687,anonymous,匿名の,an(無) + onoma(名前) → 名前がない,anonymity(匿名性)
1688,antique,骨董の，アンティークの；古風な,ante(前に) + icus → 昔の・骨董の,antiquity(古代)
1689,eternal,永遠の；不変の,aevum(時代・時代を超えた) → 時を超えて変わらない,eternity(永遠)
1690,intermediate,中級の；中間の,inter(の間に) + medius(真ん中) → 真ん中の段階の,
1691,subordinate,(～より)下位の(to)；副次的な,sub(下に) + ordinare(配置する) → 下の位に配置された,subordination(従属)
1692,gloomy,陰気な；薄暗い；悲観的な,glom(暗がり)が語源,gloom(暗がり・陰気)
1693,thermal,熱の，熱による；保温用の,therme(熱) → 熱に関する,
1694,faint,かすかな；めまいがする；弱々しい,feint(装う・弱まる) → 弱々しくて消えそうな,faintly(かすかに)
